Species,Individual,DateTime,RelativePath,File,Date,Trap,Camera
Dingo,UOF1501,2022-04-20 17:46,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-20__17-46-58(10).JPG,2022-04-20,PS1,CamB
Dingo,UOM2004,2022-04-20 23:28,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-04-20__23-28-52(1).JPG,2022-04-20,PS1,CamA
Dingo,UOF1709,2022-04-20 23:29,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-04-20__23-29-04(4).JPG,2022-04-20,PS1,CamA
Dingo,UOF1709,2022-04-22 19:16,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-22__19-16-28(1).JPG,2022-04-22,PS1,CamB
Dingo,UOM2004,2022-04-22 19:16,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-22__19-16-28(1).JPG,2022-04-22,PS1,CamB
Dingo,UOF1501,2022-04-23 18:41,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-23__18-41-28(1).JPG,2022-04-23,PS1,CamB
Dingo,UOM2008,2022-04-23 18:41,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-23__18-41-31(4).JPG,2022-04-23,PS1,CamB
Dingo,UOF1501,2022-04-24 15:20,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-24__15-20-52(1).JPG,2022-04-24,PS1,CamB
Dingo,UOM2008,2022-04-24 15:20,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-04-24__15-20-53(1).JPG,2022-04-24,PS1,CamA
Dingo,UOM2004,2022-04-25 22:15,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-25__22-15-31(1).JPG,2022-04-25,PS1,CamB
Dingo,UOF1709,2022-04-25 22:15,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-25__22-15-33(4).JPG,2022-04-25,PS1,CamB
Dingo,UOM2004,2022-05-05 6:53,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-05__06-53-51(1).JPG,2022-05-05,PS1,CamB
Dingo,UOF1709,2022-05-05 6:54,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-05-05__06-54-10(10).JPG,2022-05-05,PS1,CamA
Dingo,UOM2004,2022-05-08 17:58,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-05-08__17-58-05(1).JPG,2022-05-08,PS1,CamA
Dingo,UOF1709,2022-05-08 17:58,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-08__17-58-34(1).JPG,2022-05-08,PS1,CamB
Dingo,UOM2004,2022-05-11 13:09,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-11__13-09-20(1).JPG,2022-05-11,PS1,CamB
Dingo,UOF1709,2022-05-11 13:09,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-05-11__13-09-54(8).JPG,2022-05-11,PS1,CamA
Dingo,UOF1709,2022-05-11 17:59,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-11__17-59-24(1).JPG,2022-05-11,PS1,CamB
Dingo,UOM2004,2022-05-11 17:59,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-11__17-59-33(4).JPG,2022-05-11,PS1,CamB
Dingo,UOF1709,2022-05-13 8:38,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-05-13__08-38-17(1).JPG,2022-05-13,PS1,CamA
Dingo,UOF1709,2022-05-15 13:26,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-15__13-26-19(1).JPG,2022-05-15,PS1,CamB
Dingo,UOM2004,2022-05-15 13:26,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-15__13-26-19(1).JPG,2022-05-15,PS1,CamB
Dingo,UOM2008,2022-05-17 7:46,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-05-17__07-46-06(1).JPG,2022-05-17,PS1,CamA
Dingo,UOF1709,2022-05-29 17:22,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-29__17-22-27(1).JPG,2022-05-29,PS1,CamB
Dingo,UOM2004,2022-05-29 17:22,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-29__17-22-54(3).JPG,2022-05-29,PS1,CamB
Dingo,UOM2008,2022-05-31 11:00,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-05-31__11-00-45(1).JPG,2022-05-31,PS1,CamB
Dingo,UOF2101,2022-12-08 18:15,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-08__18-15-25(2).JPG,2022-12-08,PS1,CamA
Dingo,UOM2004,2022-12-13 9:14,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-13__09-14-41(1).JPG,2022-12-13,PS1,CamA
Dingo,UOF1709,2022-12-13 9:15,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-13__09-15-04(1).JPG,2022-12-13,PS1,CamA
Dingo,UOF1709,2022-12-13 17:36,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-13__17-36-47(1).JPG,2022-12-13,PS1,CamA
