Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,TrailType,CameraType
PS16,CamB,-32.44598,152.43916,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS17,CamA,-32.42615,152.47166,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS17,CamB,-32.42615,152.47166,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS18,CamA,-32.46056,152.46057,02/12/2021,30/01/2022,02/12/2021,19/12/2021,,,1,4wdtrack,Trail
PS18,CamB,-32.46056,152.46057,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,02/12/2021,30/01/2022,02/12/2021,19/12/2021,,,1,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS20,CamA,-32.39972,152.50082,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS20,CamB,-32.39972,152.50082,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS22,CamA,-32.40055,152.46797,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS22,CamB,-32.40055,152.46797,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS1,CamA,-32.67982,152.18388,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS1,CamB,-32.67982,152.18388,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS2,CamA,-32.657412,152.185272,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS2,CamB,-32.657412,152.185272,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS4,CamA,-32.60925,152.2137,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS4,CamB,-32.60925,152.2137,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS5,CamA,-32.60284,152.23293,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS6,CamA,-32.58665,152.27344,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS6,CamB,-32.58665,152.27344,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS7,CamA,-32.56103,152.28714,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS7,CamB,-32.56103,152.28714,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS8,CamA,-32.53981,152.3132,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS8,CamB,-32.53981,152.3132,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS9,CamA,-32.51167,152.32956,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS9,CamB,-32.51167,152.32956,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
